postcode,latitude,longitude
BN209,50.789044,0.254920
BN21,50.826332,-0.140818
BN211,50.781490,0.257691
BN212,50.788388,0.263727
BN213,50.768874,0.283251
BN214,50.765164,0.282716
BN219,50.769352,0.278764
BN220,50.801866,0.265301
BN227,50.772585,0.298225
BN228,50.781299,0.286864
BN229,50.793065,0.284581
BN23,50.832457,-0.126757
BN235,50.799875,0.335711
BN236,50.788465,0.310241
BN237,50.800877,0.306156
BN238,50.808027,0.305853
BN24,50.842174,-0.117547
BN245,50.814590,0.289384
BN246,50.817519,0.343889
BN249,50.812558,0.322546
BN25,50.815946,-0.106805
BN251,50.769177,0.102273
BN252,50.788662,0.072381
BN253,50.776454,0.117534
BN254,50.773241,0.121229
BN259,50.771520,0.100642
BN26,50.836653,-0.105385
BN265,50.812087,0.236680
BN266,50.820929,0.258964
BN269,50.823417,0.244818
BN27,50.816517,-0.076245
BN271,50.868202,0.257117
BN272,50.861050,0.258150
BN273,50.881175,0.173582
BN274,50.896623,0.302663
BN279,50.862674,0.257405
BN28,50.811513,-0.027067
BN29,50.828281,-0.126699
BN31,50.830926,-0.159963
BN32,50.826996,-0.169716
BN33,50.831397,-0.167045
BN34,50.828290,-0.193309
BN35,50.833298,-0.183852
BN36,50.845247,-0.164187
BN37,50.839723,-0.192853
BN38,50.850269,-0.194434
BN411,50.832071,-0.207548
BN412,50.846374,-0.217128
BN419,50.832071,-0.207548
BN424,50.832071,-0.207548
BN435,50.829086,-0.271989
BN436,50.835152,-0.251158
BN439,50.833707,-0.273068
BN443,50.916220,-0.264595
BN457,50.892704,-0.207525
BN50,50.916222,-0.264595
BN508,50.826334,-0.140818
BN509,50.826332,-0.140818
BN519,50.804822,-0.058672
BN529,50.834408,-0.168063
BN59,50.889368,-0.240085
BN60,50.924220,-0.142184
BN68,50.922656,-0.142801
BN69,50.938000,-0.182000
BN71,50.877777,-0.004283
BN72,50.879542,0.020173
BN73,50.921273,-0.066478
BN79,50.872000,0.010000
BN84,50.917438,-0.011550
BN85,50.896818,0.082597
BN86,50.854233,0.076441
BN881,50.823139,-0.132923
BN90,50.799870,0.063198
BN91,50.793816,0.047210
BN951,50.823154,-0.330024
